Date,Close,Turnover volume
20170227,56.25,45937
20170228,57,67803
20170301,57.5,108694
20170302,57.5,36713
20170303,57,46832
20170306,56.5,49298
20170307,56.25,36303
20170308,56.5,43413
20170309,56.5,292379
20170310,55.75,75719
20170313,56.5,78247
20170314,56.5,69146
20170315,56.75,552649
20170316,57,15343
20170317,56.25,60925
20170320,55.75,12991
20170321,55.5,86868
20170322,54.5,46736
20170323,54.5,49444
20170324,54.75,44421
20170327,54.75,30269
20170328,54.25,27379
20170329,54.75,15759
20170330,56,78553
20170331,57.25,71424
20170403,56.75,33255
20170404,57.25,23154
20170405,57,24482
20170406,57.5,46603
20170407,59.5,191066
20170410,60.5,65664
20170411,64,189578
20170412,65,76653
20170413,64.5,24407
20170418,65.25,68740
20170419,67.5,69592
20170420,66.5,45951
20170421,64.5,37613
20170424,65.5,41034
20170425,65.75,18811
20170426,66.75,30723
20170427,66.5,25746
20170428,66,23608
20170502,66,44970
20170503,65.5,28575
20170504,68,49803
20170505,67.5,168369
20170508,68,183837
20170509,70.5,126851
20170510,71.5,72560
20170511,71,57464
20170512,70.75,78358
20170515,68.5,82368
20170516,71.5,88874
20170517,71.5,60805
20170518,69.75,64276
20170519,70.75,35819
20170522,70.25,68986
20170523,69.5,62185
20170524,68.75,38601
20170526,69,61789
20170529,68.5,62268
20170530,70.25,97697
20170531,70,250734
20170601,70.5,26814
20170602,73.5,110868
20170605,72.75,45190
20170607,74.25,110252
20170608,74.75,44567
20170609,72,56629
20170612,69.25,55070
20170613,70,43232
20170614,70.25,32841
20170615,69,23321
20170616,71.75,160394
20170619,70.5,48086
20170620,70,39732
20170621,70,42374
20170622,69.25,26302
20170626,66.5,83133
20170627,66.5,27839
20170628,66.25,56953
20170629,66,93625
20170630,68.75,62226
20170703,68.75,37831
20170704,67.75,19023
20170705,67.25,12808
20170706,67.25,22617
20170707,66.75,22844
20170710,67,15321
20170711,66.75,13622
20170712,67.75,21562
20170713,68.5,23154
20170714,69.25,20766
20170717,69,19208
20170718,68.5,28492
20170719,67.25,7642
20170720,67,14816
20170721,66.25,16658
20170724,65.25,18573
20170725,66.25,12705
20170726,66,21796
20170727,66.25,7771
20170728,66,11433
