Date,Close,Turnover volume
20180801,80.48,26891
20180802,78.36,45920
20180803,78.68,47788
20180806,79.48,29481
20180807,78.24,77000
20180808,79.12,38893
20180809,78.84,41254
20180810,79.32,56142
20180813,79.64,35260
20180814,78.96,20159
20180815,79.4,11547
20180816,81.2,39436
20180817,82.08,35121
20180820,82.72,23110
20180821,83.48,27576
20180822,83.36,23294
20180823,83.76,16746
20180824,83.48,24841
20180827,84.76,290161
20180828,84.32,29853
20180829,84.36,33767
20180830,83.92,38966
20180831,83,46151
20180903,82.4,25862
20180904,82.08,41850
20180905,85.6,112675
20180906,85.16,50252
20180907,82.72,74554
20180910,83.28,20507
20180911,82.76,36672
20180912,80.36,514904
20180913,80.8,85048
20180914,82.84,72493
20180917,82.08,25231
20180918,81.56,30469
20180919,82.16,50877
20180920,82.68,44803
20180921,83.72,39533
20180924,82.88,22016
20180925,83.2,36990
20180926,82.72,25403
20180927,82.2,43519
20180928,80.96,38292
20181001,84.04,265569
20181002,83.8,24294
20181003,88.44,130310
20181004,92.8,226958
20181005,94.24,95642
20181008,92.6,71340
20181009,94.76,116614
20181010,90.76,122652
20181011,88.4,173036
20181012,86.64,200620
20181015,88.56,82148
20181016,91.2,76057
20181017,91.44,77100
20181018,95.44,679120
20181019,101.2,320743
20181022,100.8,156036
20181023,98.16,178765
20181024,96,222636
20181025,95,157046
20181026,94.96,121995
20181029,98.4,89515
20181030,97.64,99890
20181031,97.88,159033
20181101,97.32,113584
20181102,102,98080
20181105,99.68,76018
20181106,100.3,39544
20181107,100,62970
20181108,99.36,112945
20181109,99.24,113858
20181112,99.4,44572
20181113,99.56,19596
20181114,99.52,64887
20181115,94.6,154386
20181116,95.68,68009
20181119,97.28,136564
20181120,95.16,48058
20181121,95.6,70059
20181122,95.28,25231
20181123,96.84,36052
20181126,97,38115
20181127,100.2,58412
20181128,99.36,34999
20181129,99.6,30083
20181130,97.96,66160
20181203,96.24,52687
20181204,96.24,53148
20181205,94.12,35497
20181206,88.2,94120
20181207,90.84,45938
20181210,91.28,62136
20181211,92.4,41171
20181212,94.2,39677
20181213,92.76,61047
20181214,91.84,30688
20181217,91,29019
20181218,91,42377
20181219,90.28,50642
20181220,88.28,39537
20181221,86.16,89125
20181227,85.56,56905
20181228,84.72,133178
20190102,85.92,56226
20190103,86.44,51651
20190104,88.28,49268
20190107,88.6,51310
20190108,87.24,59645
20190109,86.8,158055
20190110,85.48,167153
20190111,85.12,61205
20190114,85.16,53823
20190115,84.56,41187
20190116,85.6,53507
20190117,80.4,423457
20190118,80.44,111104
20190121,85.28,151420
20190122,86.8,88023
20190123,84.92,166782
20190124,83.76,27125
20190125,82.76,55320
20190128,82.04,27509
20190129,82.68,40920
20190130,83.52,42676
20190131,82.16,53436
20190201,81.84,97586
20190204,80.8,56411
20190205,81.48,47757
20190206,81,67947
20190207,80.64,41557
20190208,78.92,92696
20190211,80,109721
20190212,80.24,41341
20190213,80.24,41001
20190214,79.76,61734
20190215,82.32,134828
20190218,81,60805
20190219,81.4,35406
20190220,80.08,95545
20190221,80.04,45888
20190222,80.2,56916
20190225,81.24,65718
20190226,80.32,26823
20190227,80.92,48050
20190228,80.72,83947
20190301,80.88,88028
20190304,81.48,40222
20190305,80,62856
20190306,80.36,72356
20190307,80.08,79336
20190308,80.64,120344
20190311,82.36,159741
20190312,79.12,194852
20190313,79.28,77432
20190314,81.48,68677
20190315,82.44,82925
20190318,82.4,45586
20190319,82.96,60710
20190320,80.12,45961
20190321,79.52,49673
20190322,78.72,37802
20190325,78.64,60267
20190326,79.32,52857
20190327,79.32,42428
20190328,79.44,54078
20190329,79.8,34835
20190401,80.48,178138
20190402,81.92,201253
20190403,83,243408
20190404,83.92,162654
20190405,84,58849
20190408,82.16,87840
20190409,82.28,45268
20190410,81.92,31419
20190411,82.04,50865
20190412,83.4,56469
20190415,83.53,262243
20190416,78.5,1868158
20190417,77.5,665234
20190418,75.5,440346
20190423,74.4,627928
20190424,73.6,352589
20190425,73.7,237579
20190426,75.3,385139
20190429,75.8,186338
20190430,76,181115
20190502,75.6,240162
20190503,76.3,176938
20190506,75.7,203997
20190507,75.2,265009
20190508,75.6,148422
20190509,74.6,223745
20190510,74.4,137310
20190513,73,186670
20190514,73.3,68576
20190515,73.4,69927
20190516,74,162301
20190517,73.7,67681
20190520,72.4,85907
20190521,72.8,53100
20190522,72.7,63267
20190523,71.6,126982
20190524,71,152452
20190527,71.2,53503
20190528,67.9,347660
20190529,69,108255
20190531,68.8,341559
20190603,68.2,131013
20190604,70.8,143448
20190605,70.8,99422
20190607,70.8,207445
20190610,71,125484
20190611,70.4,81421
20190612,69.9,57551
20190613,70,195977
20190614,69.5,105640
20190617,69.3,135435
20190618,69.9,233913
20190619,70,163913
20190620,70,143873
20190624,69.6,139673
20190625,70.3,103680
20190626,70.3,398343
20190627,70.4,94630
20190628,70.9,96740
20190701,72.3,114011
20190702,73.8,131048
20190703,78.5,576182
20190704,77.2,306390
20190705,78.5,160873
20190708,79.3,198184
20190709,78.5,159008
20190710,78.7,79123
20190711,79.4,204345
20190712,83.2,430564
20190715,83.5,124406
20190716,83.9,117050
20190717,83.5,137269
20190718,84,235886
20190719,85.7,217316
20190722,84.6,129273
20190723,84.5,108860
20190724,85.1,345938
20190725,85.6,217990
20190726,85.7,117290
20190729,86.6,121876
20190730,86.3,74379
20190731,86.4,131144
20190801,86.5,102526
20190802,85.1,98951
20190805,83.8,120314
20190806,84,160429
20190807,83.8,116625
20190808,85.2,109464
20190809,83.7,49255
20190812,82.1,38155
20190813,81.6,130954
20190814,80.4,111014
20190815,78.5,205031
20190816,80.4,123548
20190819,81.7,147183
20190820,81.7,210441
20190821,82.3,143453
20190822,82.6,113033
20190823,81.7,68600
20190826,80.2,74215
20190827,79.2,144856
20190828,78.5,2492262
20190829,78.9,278668
20190830,78.2,204543
20190902,77.2,156441
20190903,75.8,168576
20190904,75.7,93878
20190905,76.5,408662
20190906,77.2,246767
20190909,76.8,232454
20190910,78.3,183118
20190911,78.9,114731
20190912,79.2,93695
20190913,81.7,420144
20190916,80.7,88287
20190917,81.3,135622
20190918,82,299765
20190919,84.2,107838
20190920,83.4,158829
20190923,81.1,58469
20190924,79.5,47828
20190925,79,88966
20190926,79.4,81877
20190927,79.8,73013
20190930,80.2,239456
20191001,79.5,86558
20191002,74.4,418904
20191003,73.5,146873
20191004,74.5,267676
20191007,73.4,65590
20191008,73.7,91092
20191009,73.4,69734
20191010,73.5,50743
20191011,73.9,178145
20191014,74.2,153968
20191015,74.6,68182
20191016,75.4,211339
